"Contaminant","G","AC_la","Shape","Size..µm.","Surface_area","Volume","Microplastic","Total_surface_area","size_assigned","TMC_rsd_0","TMC_rsd_0n","TMC_rsd_10","TMC_rsd_50","TMC_rsd_100","TMC_rsd_200"
"Mercury",0.002,0.00125,"Long Cylinder",4.5,667.98113796953,715.694076395925,"PVC",6.72e+11,"100",3259493.23452202,3259493.23452201,3227230.35545454,2608272.75027846,1636160.9175959,680758.071472515
"Propanolol",5e-04,0.133,"Long Cylinder",45,66798.113796953,715694.076395925,"PVC",6.72e+10,"100",765.85837277303,765.85837277303,758.277809082364,612.846040948887,384.436305826104,159.952554387339
"Sulfamethoxazole",0.02,0.087,"Long Cylinder",45,66798.113796953,715694.076395925,"PVC",6.72e+10,"100",46831.7993465807,46831.7993465807,46368.2522335423,37475.1831936561,23508.0591608606,9781.0067740304
"Aluminum",2.9,0.375,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PVC",8.64e+09,"100",3544698.89254269,3544698.89254269,3509613.01155681,2836496.61592783,1779324.99788554,740324.402726361
"Antimony",0.004,27.8,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PVC",1.728e+10,"100",131.903952835873,131.903952835873,130.598350715337,105.550605901557,66.2115479242945,27.5486629642655
"Arsenic",0.003,1.92,"Short Cylinder",100,18849.5559215388,78539.8163397448,"PVC",1.728e+11,"100",14323.9448782706,14323.9448782706,14182.1646479936,11462.1361096222,7190.16028240385,2991.6126187757
"BPA",6e-05,0.19,"Short Cylinder",13.2,328.434662376891,180.63906430729,"PVC",1309090909090.91,"100",21931.3988566822,21931.3988566822,21714.3190782677,17549.6820817181,11008.8578486566,4580.45951200108
"Bromine",0.01,13,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PVC",1.728e+10,"100",705.178824776398,705.178824776397,698.198874978146,564.289777704475,353.977121595267,147.279390462804
"Cadmium",0.005,0.00014,"Short Cylinder",3000,16964600.3293849,2120575041.17311,"PVC",5.76e+09,"100",10913481.8120157,10913481.8120157,10805458.7794237,8733056.08352164,5478217.35802198,2279323.90001958
"Chromium",0.03,0.000454,"Short Cylinder",500,471238.898038469,9817477.0424681,"PVC",3.456e+10,"100",121154071.21709,121154071.21709,119954872.793602,96948464.0109011,60815452.6088784,25303507.6125522
"Manganese",0.12,0.13,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PVC",8.64e+09,"100",423107.294865839,423107.294865838,418919.324986887,338573.866622685,212386.27295716,88367.6342776823
"Mercury",0.002,0.00125,"Short Cylinder",4.5,38.170350741116,7.15694076395925,"PVC",3.84e+12,"100",325949323.452202,325949323.452201,322723035.545454,260827275.027846,163616091.75959,68075807.1472515
"Propanolol",5e-04,0.133,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PVC",3.84e+11,"100",76585.837277303,76585.837277303,75827.7809082364,61284.6040948887,38443.6305826104,15995.2554387339
"Sulfamethoxazole",0.02,0.087,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PVC",3.84e+11,"100",4683179.93465807,4683179.93465807,4636825.22335423,3747518.31936561,2350805.91608606,978100.67740304
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PVC",2174907617.48924,"100",542668.973658639,542668.973658638,537297.567059175,434248.085384651,272402.395712396,113338.564425644
"Antimony",0.004,27.8,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PVC",4349815234.97849,"100",20.1935862190017,20.1935862190017,19.9937075313511,16.1590704062758,10.1365317183973,4.21751045989744
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.2",100,30993.6377269842,513019.932064746,"PVC",43498152349.7849,"100",2192.89725346971,2192.89725346971,2171.19167723266,1754.77405193151,1100.7639912947,457.995276504488
"BPA",6e-05,0.19,"Oblate Spheroid e=0.2",13.2,540.033143754972,1179.92942711109,"PVC",329531457195.34,"100",3357.54603402061,3357.54603402061,3324.31261585861,2686.73539051714,1685.38027375265,701.236786992517
"Bromine",0.01,13,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PVC",4349815234.97849,"100",107.958018632355,107.958018632355,106.889436417608,86.388876402782,54.19145803297,22.5474597663748
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.2",3000,27894273.9542857,13851538165.7481,"PVC",1449938411.6595,"100",1670778.85978645,1670778.85978645,1654241.27789155,1336970.70623353,838677.326700726,348948.782098658
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.2",500,774840.943174604,64127491.5080932,"PVC",8699630469.95698,"100",18547853.4214178,18547853.4214178,18364264.4065493,14842141.7608304,9310426.71051026,3873792.64708642
"Manganese",0.12,0.13,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PVC",2174907617.48924,"100",64774.8111794131,64774.811179413,64133.6618505646,51833.3258416692,32514.874819782,13528.4758598249
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.2",4.5,62.7621163971429,46.7489413093999,"PVC",966625607772.998,"100",49900595.2789553,49900595.2789552,49406672.8330275,39930858.4261748,25048496.1574617,10421936.9586799
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PVC",96662560777.2998,"100",11724.763928326,11724.7639283259,11608.7107220459,9382.25057005987,5885.45492421562,2448.76338314847
